2023-02-21 14:05:21,214 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:52) - Will not secure Ant [pattern='/font/**']
2023-02-21 14:05:21,252 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration(openEntityManagerInViewInterceptor:219) - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-02-21 14:05:21,575 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer(startServer:59) - LiveReload server is running on port 35729
2023-02-21 14:05:21,602 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(start:220) - Tomcat started on port(s): 8080 (http) with context path ''
2023-02-21 14:05:25,051 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet(initServletBean:525) - Initializing Servlet 'dispatcherServlet'
2023-02-21 14:05:25,053 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet(initServletBean:547) - Completed initialization in 1 ms
2023-02-21 14:05:32,879 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(destroy:651) - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-02-21 14:05:35,922 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor(logTo:255) - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-02-21 14:05:35,923 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor(logTo:255) - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-02-21 14:05:36,457 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(registerRepositoriesIn:132) - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-02-21 14:05:36,507 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(registerRepositoriesIn:201) - Finished Spring Data repository scanning in 43 ms. Found 2 JPA repository interfaces.
2023-02-21 14:05:36,953 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(initialize:108) - Tomcat initialized with port(s): 8080 (http)
2023-02-21 14:05:37,054 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext(prepareWebApplicationContext:292) - Root WebApplicationContext: initialization completed in 1130 ms
2023-02-21 14:05:37,182 [restartedMain] INFO  org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration(logDataSources:98) - H2 console available at '/h2-console'. Database available at 'jdbc:h2:~/test'
2023-02-21 14:05:38,010 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(buildNativeEntityManagerFactory:437) - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-02-21 14:05:38,368 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:55) - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@b39f450, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5ff1e92f, org.springframework.security.web.context.SecurityContextPersistenceFilter@56ee48f7, org.springframework.security.web.header.HeaderWriterFilter@4ab2a1f3, org.springframework.security.web.authentication.logout.LogoutFilter@b401e90, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@a005c00, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@53ff163f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4179d7f0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3a6d8c1, org.springframework.security.web.session.SessionManagementFilter@7155a0b4, org.springframework.security.web.access.ExceptionTranslationFilter@3a69eca2, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@32386540]
2023-02-21 14:05:38,374 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/css/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-21 14:05:38,375 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:52) - Will not secure Ant [pattern='/css/**']
2023-02-21 14:05:38,375 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/js/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-21 14:05:38,375 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:52) - Will not secure Ant [pattern='/js/**']
2023-02-21 14:05:38,375 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/img/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-21 14:05:38,375 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:52) - Will not secure Ant [pattern='/img/**']
2023-02-21 14:05:38,375 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/font/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-21 14:05:38,375 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:52) - Will not secure Ant [pattern='/font/**']
2023-02-21 14:05:38,416 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration(openEntityManagerInViewInterceptor:219) - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-02-21 14:05:38,750 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer(startServer:59) - LiveReload server is running on port 35729
2023-02-21 14:05:38,777 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(start:220) - Tomcat started on port(s): 8080 (http) with context path ''
2023-02-21 14:05:40,446 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet(initServletBean:525) - Initializing Servlet 'dispatcherServlet'
2023-02-21 14:05:40,447 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet(initServletBean:547) - Completed initialization in 1 ms
